Wires computation for maximum sag hypothesis
- Project file ...................................: F:/seguridad_rural/Tendidos/pwl_tendidos.sqlite
- Electric pylons connection .....................: EP_6_EP_7
- Number of wire groups to compute ...............: 4
- Processing parameters:
  - Process only enabled connections .............: True
  - Process only enabled wires groups ............: True
  - Powerline voltage (kv) .......................: 132.0
  - Wire type ....................................: 242-AL1/39-ST1A
  - Wire section (mm2) ...........................: 281.1
  - Wire elastic modulus (daN/mm2) ...............: 7500.0
  - Wire coef linear thermal expansion (ºC-1) ....: 0.000018900
  - Wire weight (daN/m) ..........................: 0.977
  - Wire diameter (mm) ...........................: 21.8
  - Wire breaking coefficient (daN) ..............: 8450.0
  - Wire maximum distance from axis (m) ..........: 8.0
  - Maximum vertical distance between wires (m) ..: 18.0
  - Minimum safety ground distance (m) ...........: 10.0
  - Safety ground distance (m) ...................: 10.0
  - Digital terrain model file name ..............: F:/seguridad_rural/Tendidos/data/primera_cobertura_dtm.tif
- Region of interest .............................: POLYGON((559302.5094 4286437.5789,559643.6119 4286509.8787,559646.9295 4286494.2265,559305.8270 4286421.9267,559302.5094 4286437.5789))
- Minimum elevation from dtm .....................: 1083.600
- Maximum elevation from dtm .....................: 1122.900
- Maximum Sag ....................................: 15.153
- Catenary computed from Sag: height(x)=c*cosh((x-x_min)/c)+bias, x is the 2d distance to first point;
  - First point ..................................: ( 559304.1682, 4286429.7528, 1121.6708)
  - Last point ...................................: ( 559645.2707, 4286502.0526, 1106.6619)
  - Length (2d,m) ................................: 348.681
  - Delta H (m) ..................................: -15.009
  - Length (3d,m) ................................: 349.004
  - Azimuth (deg) ................................: 78.032752860641
    Iter      cSag   Error_sag
       1    1.1451     14.0077
       2    1.6194     13.5334
       3    1.9834     13.1694
       4    2.2902     12.8625
       5    2.5606     12.5922
       6    2.8050     12.3478
       7    3.0298     12.1230
       8    3.2390     11.9138
       9    3.4355     11.7172
      10    3.6214     11.5314
      11    3.7982     11.3546
      12    3.9671     11.1856
      13    4.1291     11.0236
      14    4.2851     10.8677
      15    4.4355     10.7173
      16    4.5810     10.5717
      17    4.7221     10.4307
      18    4.8590     10.2938
      19    4.9922     10.1606
      20    5.1219     10.0308
      21    5.2485      9.9043
      22    5.3720      9.7807
      23    5.4928      9.6599
      24    5.6110      9.5417
      25    5.7268      9.4260
      26    5.8403      9.3125
      27    5.9516      9.2012
      28    6.0608      9.0919
      29    6.1682      8.9846
      30    6.2737      8.8791
      31    6.3775      8.7753
      32    6.4796      8.6732
      33    6.5801      8.5727
      34    6.6791      8.4736
      35    6.7767      8.3761
      36    6.8729      8.2799
      37    6.9678      8.1850
      38    7.0614      8.0914
      39    7.1538      7.9990
      40    7.2450      7.9078
      41    7.3350      7.8177
      42    7.4240      7.7287
      43    7.5120      7.6408
      44    7.5989      7.5539
      45    7.6848      7.4679
      46    7.7698      7.3829
      47    7.8539      7.2989
      48    7.9371      7.2157
      49    8.0194      7.1333
      50    8.1009      7.0518
      51    8.1816      6.9712
      52    8.2615      6.8912
      53    8.3407      6.8121
      54    8.4191      6.7337
      55    8.4967      6.6560
      56    8.5737      6.5790
      57    8.6500      6.5027
      58    8.7257      6.4271
      59    8.8006      6.3521
      60    8.8750      6.2778
      61    8.9487      6.2040
      62    9.0219      6.1309
      63    9.0944      6.0583
      64    9.1664      5.9863
